Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1938,.01,-.02,.08,.04,-.10,-.18,-.09,-.06,.02,.11,.04,-.22,-.03,-.02,-.04,.01,-.11,.05
1939,-.07,-.08,-.19,-.09,-.06,-.08,-.08,-.07,-.07,-.03,.06,.44,-.03,-.08,-.13,-.11,-.08,-.01
1940,-.06,.13,.15,.18,.10,.08,.12,.05,.13,.08,.17,.28,.12,.13,.17,.14,.08,.13
1941,.21,.32,.08,.17,.14,.12,.21,.14,.02,.34,.24,.21,.18,.19,.27,.13,.16,.20
1942,.26,.02,.09,.11,.09,.04,.00,-.04,-.05,-.01,.08,.07,.05,.07,.16,.09,.00,.00
1943,-.04,.13,-.08,.07,.04,-.06,.08,.00,.06,.22,.19,.24,.07,.06,.05,.01,.01,.16
1944,.35,.26,.27,.20,.19,.20,.18,.17,.30,.26,.10,.02,.21,.23,.29,.22,.18,.22
1945,.09,-.02,.07,.18,.05,-.01,.03,.27,.22,.19,.07,-.09,.09,.10,.03,.10,.10,.16
1946,.15,.07,.01,.06,-.08,-.21,-.14,-.16,-.07,-.06,-.06,-.35,-.07,-.05,.04,-.01,-.17,-.06
1947,-.13,-.08,.07,.07,-.03,.02,-.08,-.09,-.13,.06,.02,-.16,-.04,-.06,-.19,.03,-.05,-.02
1948,.07,-.15,-.25,-.11,.01,-.04,-.11,-.12,-.11,-.07,-.12,-.23,-.10,-.10,-.08,-.12,-.09,-.10
1949,.09,-.16,-.02,-.10,-.08,-.23,-.14,-.12,-.14,-.06,-.10,-.22,-.11,-.11,-.10,-.07,-.16,-.10
1950,-.33,-.28,-.07,-.20,-.09,-.03,-.10,-.16,-.12,-.22,-.38,-.20,-.18,-.18,-.28,-.12,-.10,-.24
1951,-.35,-.43,-.21,-.13,.00,-.02,.03,.06,.08,.05,-.02,.14,-.07,-.09,-.32,-.11,.02,.04
1952,.13,.11,-.10,.02,-.02,-.04,.04,.04,.07,-.01,-.14,-.01,.01,.02,.12,-.03,.01,-.03
1953,.08,.14,.11,.18,.09,.10,.00,.06,.04,.06,-.06,.02,.07,.07,.07,.13,.05,.01
1954,-.28,-.13,-.15,-.17,-.21,-.17,-.19,-.17,-.10,-.04,.06,-.22,-.15,-.13,-.13,-.18,-.18,-.03
1955,.14,-.17,-.34,-.21,-.21,-.12,-.12,.01,-.11,-.05,-.24,-.30,-.14,-.14,-.08,-.25,-.08,-.13
1956,-.16,-.26,-.23,-.27,-.31,-.16,-.12,-.26,-.20,-.24,-.17,-.08,-.21,-.22,-.24,-.27,-.18,-.20
1957,-.11,-.04,-.06,-.01,.09,.16,.01,.15,.09,.01,.06,.16,.04,.02,-.07,.01,.11,.06
1958,.39,.24,.11,.03,.07,-.07,.05,-.03,-.02,.04,.02,.00,.07,.08,.26,.07,-.02,.02
1959,.08,.09,.18,.13,.04,.02,.06,-.01,-.06,-.09,-.09,-.01,.03,.03,.06,.12,.02,-.08
1960,-.01,.16,-.34,-.14,-.07,-.04,-.03,.01,.07,.07,-.12,.18,-.02,-.04,.05,-.19,-.02,.01
1961,.07,.19,.09,.12,.11,.11,.00,.03,.07,.00,.03,-.15,.06,.08,.15,.11,.05,.03
1962,.07,.14,.12,.04,-.04,.04,.02,-.01,.01,.00,.07,.00,.04,.03,.02,.04,.02,.03
1963,-.02,.20,-.14,-.06,-.04,.05,.08,.27,.20,.15,.15,-.01,.07,.07,.06,-.08,.14,.17
1964,-.08,-.13,-.23,-.31,-.25,-.02,-.03,-.21,-.29,-.31,-.21,-.30,-.20,-.17,-.07,-.26,-.09,-.27
1965,-.08,-.17,-.11,-.19,-.14,-.09,-.12,-.03,-.16,-.05,-.07,-.06,-.11,-.13,-.18,-.15,-.08,-.09
1966,-.17,-.01,.05,-.12,-.11,.01,.09,-.08,-.02,-.15,-.02,-.06,-.05,-.05,-.08,-.06,.01,-.06
1967,-.06,-.21,.04,-.05,.14,-.08,.01,.01,-.06,.08,-.07,-.03,-.02,-.02,-.11,.05,-.02,-.01
1968,-.25,-.15,.20,-.06,-.13,-.08,-.12,-.09,-.18,.10,-.03,-.13,-.08,-.07,-.14,.00,-.10,-.04
1969,-.11,-.14,.01,.18,.19,.05,-.02,.03,.09,.13,.13,.27,.07,.03,-.13,.13,.02,.11
1970,.09,.22,.08,.09,-.04,-.02,-.02,-.09,.11,.06,.02,-.12,.03,.06,.19,.04,-.04,.06
1971,-.02,-.20,-.17,-.08,-.05,-.19,-.11,-.03,-.04,-.06,-.05,-.09,-.09,-.09,-.11,-.10,-.11,-.05
1972,-.24,-.17,.02,.00,-.04,.06,.01,.17,.02,.09,.04,.20,.01,-.01,-.17,.00,.08,.05
1973,.29,.31,.27,.26,.26,.18,.10,.03,.10,.14,.06,-.06,.16,.18,.27,.26,.11,.10
1974,-.15,-.28,-.05,-.11,-.02,-.06,-.04,.11,-.11,-.08,-.07,-.09,-.08,-.08,-.16,-.06,.00,-.09
1975,.07,.07,.13,.05,.16,.01,-.01,-.19,-.03,-.09,-.16,-.17,-.01,-.01,.02,.11,-.06,-.09
1976,-.01,-.06,-.21,-.08,-.24,-.16,-.10,-.14,-.09,-.26,-.04,.10,-.11,-.13,-.08,-.18,-.13,-.13
1977,.19,.22,.25,.28,.30,.24,.20,.16,.00,.02,.17,.02,.17,.18,.17,.27,.20,.07
1978,.06,.14,.21,.15,.06,-.02,.03,-.17,.05,.00,.16,.10,.06,.06,.07,.14,-.05,.07
1979,.12,-.11,.18,.13,.05,.13,.02,.14,.25,.24,.28,.47,.16,.13,.04,.12,.10,.26
1980,.30,.42,.30,.33,.36,.17,.28,.23,.19,.18,.29,.20,.27,.29,.40,.33,.23,.22
1981,.55,.41,.49,.32,.24,.32,.34,.32,.17,.14,.24,.43,.33,.31,.38,.35,.33,.18
1982,.10,.15,-.01,.10,.15,.05,.13,.07,.14,.13,.15,.43,.13,.13,.23,.08,.08,.14
1983,.52,.41,.43,.31,.36,.20,.18,.33,.39,.16,.32,.17,.32,.34,.45,.37,.24,.29
1984,.30,.17,.29,.08,.33,.05,.17,.16,.21,.16,.06,-.05,.16,.18,.21,.24,.13,.14
1985,.22,-.06,.17,.11,.17,.18,-.01,.15,.15,.11,.08,.15,.12,.10,.03,.15,.11,.11
1986,.28,.39,.27,.24,.24,.11,.11,.12,.00,.13,.11,.16,.18,.18,.27,.25,.11,.08
1987,.36,.46,.16,.22,.25,.37,.45,.28,.39,.32,.25,.48,.33,.31,.33,.21,.37,.32
1988,.58,.43,.51,.45,.43,.43,.34,.47,.41,.39,.12,.33,.41,.42,.49,.47,.41,.31
1989,.15,.35,.36,.33,.16,.14,.34,.37,.37,.32,.20,.38,.29,.29,.28,.29,.28,.30
1990,.41,.41,.77,.55,.46,.38,.43,.31,.29,.41,.46,.41,.44,.44,.40,.59,.37,.39
1991,.41,.49,.35,.52,.38,.53,.48,.40,.48,.30,.31,.32,.41,.42,.44,.42,.47,.36
1992,.44,.42,.48,.24,.32,.25,.12,.07,.00,.09,.03,.22,.22,.23,.39,.35,.15,.04
1993,.37,.39,.36,.27,.27,.25,.28,.13,.10,.22,.06,.16,.24,.24,.32,.30,.22,.13
1994,.27,.02,.27,.40,.28,.42,.30,.21,.29,.41,.46,.36,.31,.29,.15,.32,.31,.38
1995,.51,.78,.45,.47,.26,.41,.48,.46,.32,.47,.45,.28,.45,.45,.55,.40,.45,.42
1996,.25,.48,.32,.36,.27,.25,.35,.49,.25,.19,.41,.40,.34,.33,.34,.32,.36,.28
1997,.31,.38,.53,.36,.36,.53,.35,.41,.53,.62,.65,.59,.47,.45,.36,.42,.43,.60
1998,.60,.90,.63,.63,.69,.77,.68,.66,.42,.44,.49,.56,.62,.62,.69,.65,.70,.45
1999,.48,.65,.34,.32,.31,.37,.37,.31,.41,.39,.38,.43,.40,.41,.56,.32,.35,.39
2000,.23,.56,.57,.57,.36,.41,.38,.42,.40,.28,.32,.29,.40,.41,.41,.50,.40,.33
2001,.42,.43,.55,.50,.56,.54,.60,.48,.53,.50,.69,.55,.53,.51,.38,.54,.54,.58
2002,.75,.75,.89,.56,.63,.55,.61,.53,.62,.55,.58,.43,.62,.63,.68,.70,.56,.58
2003,.73,.55,.57,.53,.60,.47,.53,.65,.64,.74,.52,.73,.60,.58,.57,.57,.55,.63
2004,.58,.72,.64,.62,.38,.42,.24,.43,.50,.64,.70,.51,.53,.55,.67,.55,.36,.61
2005,.72,.57,.69,.66,.62,.66,.63,.60,.74,.75,.71,.65,.67,.66,.60,.66,.63,.74
2006,.56,.69,.62,.50,.46,.64,.52,.70,.61,.67,.70,.73,.62,.61,.63,.53,.62,.66
2007,.95,.70,.69,.73,.66,.59,.60,.57,.59,.57,.54,.46,.64,.66,.79,.69,.59,.57
2008,.23,.34,.73,.51,.47,.46,.59,.44,.62,.63,.64,.53,.51,.51,.34,.57,.49,.63
2009,.61,.51,.52,.58,.64,.65,.69,.66,.68,.63,.76,.65,.63,.62,.55,.58,.67,.69
2010,.73,.79,.91,.85,.73,.62,.59,.63,.59,.69,.77,.46,.70,.71,.72,.83,.61,.68
2011,.48,.51,.62,.62,.51,.57,.71,.71,.54,.63,.56,.53,.58,.58,.48,.59,.67,.58
2012,.45,.48,.56,.68,.75,.63,.53,.62,.72,.74,.73,.52,.62,.62,.49,.66,.59,.73
2013,.67,.56,.65,.53,.58,.66,.57,.66,.78,.67,.78,.65,.65,.64,.58,.59,.63,.74
2014,.73,.52,.76,.77,.85,.66,.56,.81,.88,.81,.66,.77,.73,.72,.63,.79,.68,.79
2015,.81,.87,.90,.75,.75,.79,.71,.79,.82,1.07,1.03,1.10,.87,.84,.82,.80,.77,.97
2016,1.15,1.35,1.31,1.07,.91,.77,.82,1.00,.88,.90,.91,.83,.99,1.01,1.20,1.10,.86,.89
2017,.98,1.13,1.13,.92,.89,.70,.82,.87,.76,.88,.86,.89,.90,.90,.98,.98,.80,.83
2018,.77,.85,.91,.87,.81,.74,.78,.73,.76,.99,.78,.89,.82,.82,.84,.86,.75,.84
2019,.87,.92,1.11,.97,.85,.86,.90,***,***,***,***,***,***,***,.89,.98,***,***
