"opendate","st.address","city","state","long","lat","type"
1972-05-01,"521 EAST CHESTNUT ST","Junction City","KS",-96.83653,39.01585,"SuperCenter"
1972-05-01,"1501 SOUTH RANGELINE ROAD","Joplin","MO",-94.51124,37.047161,"SuperCenter"
1972-06-01,"2004 SOUTH PLEASANT","Springdale","AR",-94.1082,36.182407,"SuperCenter"
1972-07-01,"1101 WEST RUTH AVE","Sallisaw","OK",-94.78647,35.467031,"SuperCenter"
1972-07-01,"1601 ALBERT PIKE BLV","Hot Springs","AR",-93.08805,34.47056,"SuperCenter"
1972-08-01,"1815 EAST HIGHLAND DRIVE","Jonesboro","AR",-90.68443,35.844795,"SuperCenter"
1972-08-01,"2451 S. SPRINGFIELD","Bolivar","MO",-93.40072,37.616822,"SuperCenter"
1972-10-01,"1911 E.JACKSON ST.","Hugo","OK",-95.51651,34.010943,"SuperCenter"
1972-10-01,"1555 EAST MAIN","Booneville","AR",-93.97531,35.105966,"Wal-MartStore"
1972-10-01,"1600 WEST MAIN","Walnut Ridge","AR",-90.94429,36.068015,"Wal-MartStore"
1972-11-01,"885 HIGHWAY 60","Monett","MO",-93.91488,36.91816,"SuperCenter"
1972-11-01,"301 E. COOPER AVENUE","Warrensburg","MO",-93.73519,38.772117,"SuperCenter"
1972-11-01,"3700 EAST HWY 18","Blytheville","AR",-89.91767,35.925991,"SuperCenter"
1973-02-01,"1705 WEST 11TH STREET","Coffeyville","KS",-95.61814,37.041838,"Wal-MartStore"
1973-02-01,"100 SOUTH DUPREE","Brownsville","TN",-89.2609,35.590558,"Wal-MartStore"
1973-05-01,"1701 NORTH BLUFF STREET","Fulton","MO",-91.95808,38.852436,"SuperCenter"
1973-05-01,"2409 EAST MAIN STREET","Russellville","AR",-93.10909,35.308848,"SuperCenter"
1973-06-01,"401 N STADIUM BL/BISCAYNE MALL","Columbia","MO",-92.29003,38.926838,"Wal-MartStore"
1973-06-01,"ROUTE 6 BOX 1895","Stilwell","OK",-94.65023,35.815628,"SuperCenter"
1973-07-01,"600 HWY 71 NORTH","Mena","AR",-94.21567,34.588479,"SuperCenter"
1973-07-03,"350 PARKRIDGE ROAD","Sullivan","MO",-91.14089,38.200244,"SuperCenter"
1973-08-01,"1309 NW 12TH AVE","Ava","MO",-92.66205,36.921199,"SuperCenter"
1973-08-01,"1230 MARKET STREET","Clarksville","AR",-93.4851,35.490105,"SuperCenter"
1973-08-01,"800 HWY 64 EAST","Wynne","AR",-90.83237,35.229779,"SuperCenter"
1973-09-01,"268 SO. 7TH ST.","Vinita","OK",-95.17303,36.631673,"SuperCenter"
1973-09-01,"410 SOUTH DEWEY","Wagoner","OK",-95.3611,35.961019,"SuperCenter"
1973-09-01,"1331 SPUR DR/ BUS. RT US HWY66","Marshfield","MO",-92.90929,37.330958,"Wal-MartStore"
1973-11-01,"1415 HWY 67 SOUTH","Pocahontas","AR",-91.0141,36.304912,"SuperCenter"
1973-11-01,"1051 WEST KEISER AVENUE","Osceola","AR",-90.02631,35.696385,"Wal-MartStore"
1973-11-01,"1000 WEST TRIMBLE","Berryville","AR",-93.56324,36.350821,"SuperCenter"
1973-12-01,"650 SOUTH TRUMAN BLVD","Festus","MO",-90.4077,38.187767,"SuperCenter"
1973-12-01,"2825 N KANSAS EXPRESSWAY","Springfield","MO",-93.29015,37.257053,"SuperCenter"
1974-01-01,"2710 N BROADWAY","Pittsburg","KS",-94.70414,37.408511,"SuperCenter"
1974-02-01,"2100 NORTH MAIN","Mt. Grove","MO",-92.27609,37.176376,"SuperCenter"
1974-02-01,"94 CECIL STREET","Camdenton","MO",-92.78269,38.032648,"SuperCenter"
1974-04-01,"2623 WEST 7TH STREET","Joplin","MO",-94.50169,37.09416,"SuperCenter"
1974-04-01,"1750 S. PERRYVILLE","Perryville","MO",-89.87601,37.716811,"SuperCenter"
1974-04-01,"17309 I-30","Benton","AR",-92.59562,34.564734,"SuperCenter"
1974-04-01,"2115 S MAIN ST","Grove","OK",-94.76673,36.599689,"SuperCenter"
1974-04-01,"3020 SOUTH ELLIOTT","Aurora","MO",-93.71063,36.918018,"Wal-MartStore"
1974-05-01,"PINECREST PLAZA SHOPPING CTR","Brinkley","AR",-91.19271,34.867846,"Wal-MartStore"
1974-07-01,"798 WEST SERVICE ROAD","West Memphis","AR",-90.17636,35.150009,"SuperCenter"
1974-07-01,"1379 HOMER ROAD","Minden","LA",-93.28751,32.631009,"SuperCenter"
1974-07-01,"8445 HWY 51 NORTH","Millington","TN",-89.90668,35.347965,"SuperCenter"
1974-07-01,"15427 SO. FIRST STREET","Milan","TN",-88.76628,35.916722,"Wal-MartStore"
1974-08-01,"60 79-BYPASS NORTH","Magnolia","AR",-93.20427,33.249608,"SuperCenter"
1974-08-01,"2301 HARPER ROAD","Corinth","MS",-88.52856,34.928325,"SuperCenter"
1974-08-01,"1405 MIDDLE ROAD","Fulton","KY",-88.89132,36.532059,"SuperCenter"
1974-09-01,"205 DEADRICK ROAD","Forrest City","AR",-90.78048,35.010683,"SuperCenter"
1974-09-01,"406 E 22ND STREET","Stuttgart","AR",-91.53854,34.479852,"SuperCenter"
1974-10-01,"1002 WEST TAFT","Sapulpa","OK",-96.1194,35.996582,"SuperCenter"
1974-10-01,"975 US HIGHWAY 51 NORTH","Covington","TN",-89.64201,35.560622,"Wal-MartStore"
1974-10-01,"407 NO. STATE ST","Desloge","MO",-90.53,37.844197,"SuperCenter"
1974-10-01,"1700 NORTH 291 HIGHWAY","Harrisonville","MO",-94.34126,38.641509,"SuperCenter"
1974-10-01,"406 SOUTH WALTON BLVD","Bentonville","AR",-94.23308,36.362525,"SuperCenter"
1974-10-01,"850 WAL-MART DRIVE","Martin","TN",-88.84191,36.353928,"Wal-MartStore"
1974-11-01,"628 HWY 51 BYPASS","Ripley","TN",-89.86859,35.637993,"SuperCenter"
1975-02-01,"2030 EAST MADISON","Bastrop","LA",-91.90678,32.814969,"Wal-MartStore"
1975-02-01,"1618 SOUTH DIVISION","Guthrie","OK",-97.43176,35.857303,"Wal-MartStore"
1975-02-01,"2000 NORTH WALNUT","Cameron","MO",-94.23378,39.743859,"SuperCenter"
1975-03-01,"101 HWY 47 EAST","Troy","MO",-90.98649,38.991916,"SuperCenter"
1975-03-01,"8801 BASELINE ROAD","Little Rock","AR",-92.35557,34.674192,"SuperCenter"
1975-04-01,"1010 HWY 12 WEST","Starkville","MS",-88.82383,33.450215,"SuperCenter"
1975-04-01,"200 WALMART CIRCLE","Booneville","MS",-88.53751,34.653448,"Wal-MartStore"
1975-04-01,"2425 SOUTH ZERO ST","Fort Smith","AR",-94.41371,35.373791,"SuperCenter"
1975-06-01,"501 SOUTH PARK DRIVE","Broken Bow","OK",-94.80269,34.142978,"Wal-MartStore"
1975-06-01,"1500 E. WRANGLER BLVD","Seminole","OK",-96.65915,35.249655,"SuperCenter"
1975-07-01,"2001 SO. 1ST ST.","Chickasha","OK",-97.94723,35.040526,"SuperCenter"
1975-07-01,"1715 NORTH COMMERCE STREET","Ardmore","OK",-97.12655,34.184742,"SuperCenter"
1975-07-01,"1000 WEST SHAWNEE ST","Muskogee","OK",-95.33691,35.719962,"SuperCenter"
1975-08-01,"196 SHAWNEE MALL DRIVE","Shawnee","OK",-96.93162,35.375188,"SuperCenter"
1975-08-01,"929 SOUTH PINE STREET","Vivian","LA",-93.97599,32.849008,"Wal-MartStore"
1975-09-01,"1800 SOUTH WOOD DRIVE","Okmulgee","OK",-95.9734,35.628612,"SuperCenter"
1975-11-01,"2700 SOUTH SANTA FE","Chanute","KS",-95.45681,37.666078,"SuperCenter"
1975-11-01,"3051 EAST JACKSON BLVD.","Jackson","MO",-89.65428,37.413716,"SuperCenter"
1975-11-01,"2311 SOUTH JEFFERSON","Mt. Pleasant","TX",-94.9814,33.166739,"SuperCenter"
1976-02-01,"1445 E CENTRAL","Union","MO",-91.00353,38.434806,"SuperCenter"
1976-02-01,"500 SOUTH BISHOP","Rolla","MO",-91.77105,37.94384,"SuperCenter"
1976-02-01,"1910 MARTIN LUTHER KING BLVD","Malvern","AR",-92.8146,34.364093,"SuperCenter"
1976-02-01,"1213 SOUTH MAIN STREET","Kingfisher","OK",-97.93743,35.856216,"Wal-MartStore"
1976-03-01,"3150 HARRISON STREET","Batesville","AR",-91.63835,35.78108,"SuperCenter"
1976-03-01,"2716 NORTH CENTRAL AVENUE","Humboldt","TN",-88.90218,35.825299,"Wal-MartStore"
1976-03-01,"700 SOUTH BOWMAN BLV","Little Rock","AR",-92.41345,34.749723,"Wal-MartStore"
1976-03-01,"1923 NORTH WOOD","Gilmer","TX",-94.9577,32.727128,"SuperCenter"
1976-04-01,"1515 US HWY 278 EAST","Amory","MS",-88.46783,33.988235,"SuperCenter"
1976-04-01,"1000 GRAVES ST.","Chillicothe","MO",-93.54803,39.790132,"SuperCenter"
1976-04-01,"1219 WEST DOOLIN","Blackwell","OK",-97.29289,36.800787,"Wal-MartStore"
1976-05-01,"1040 S CONSTITUTION","Ashdown","AR",-94.13465,33.675597,"Wal-MartStore"
1976-05-01,"8301 ROGERS AVENUE","Fort Smith","AR",-94.36914,35.357041,"SuperCenter"
1976-05-01,"2204 HWY 82 WEST","Clarksville","TX",-95.03534,33.626445,"Wal-MartStore"
1976-06-01,"310 WEST 5TH STREET","Benton","KY",-88.33515,36.854812,"SuperCenter"
1976-06-01,"3855 LAMAR AVENUE","Paris","TX",-95.55958,33.660274,"SuperCenter"
1976-07-01,"1620 NORTH GREEN AVENUE","Purcell","OK",-97.39646,35.017656,"Wal-MartStore"
1976-07-01,"401 NORTH US HWY 75","Denison","TX",-96.57867,33.754053,"SuperCenter"
1976-08-01,"3105 WEST 3RD","Elk City","OK",-99.41658,35.405935,"Wal-MartStore"
1976-09-01,"1445 HWY 45 NORTH","West Point","MS",-88.64686,33.619058,"Wal-MartStore"
1976-09-01,"2500 DANIEL MCCALL DRIVE","Lufkin","TX",-94.68667,31.330567,"SuperCenter"
1976-09-01,"2875 WEST 6TH STREET","Fayetteville","AR",-94.2486,36.096998,"SuperCenter"
1976-10-01,"111 NORTH PERKINS ROAD","Stillwater","OK",-97.05784,36.149394,"SuperCenter"
1976-10-01,"3310 W GEORGIA STREET","Louisiana","MO",-91.07518,39.449012,"Wal-MartStore"
1976-10-01,"3215 WILLIAMS AVENUE","Woodward","OK",-99.40838,36.433665,"SuperCenter"
1976-10-01,"202 PARK PLAZA","New Albany","MS",-88.99973,34.489085,"SuperCenter"
1976-12-01,"12862 STATE ROAD 21","De Soto","MO",-90.55426,38.120303,"SuperCenter"
1977-01-01,"STATE HWY 84 WEST","Caruthersville","MO",-89.67548,36.174029,"Wal-MartStore"
1977-01-01,"3509 EAST RACE AVENUE","Searcy","AR",-91.73776,35.239022,"SuperCenter"
1977-01-01,"219 HIGHWAY 412","Ashflat","AR",-91.63703,36.24564,"SuperCenter"
1977-02-01,"4810 NORTH STREET","Nacogdoches","TX",-94.638278,31.649582,"SuperCenter"
1977-02-01,"350 WAL-MART CIRCLE","Pontotoc","MS",-89.00425,34.236312,"Wal-MartStore"
1977-02-01,"3520 W SUNSHINE ST.","Springfield","MO",-93.31297,37.168435,"SuperCenter"
1977-03-01,"184 OLD WINFIELD RD","Jonesboro","LA",-92.69763,32.229884,"SuperCenter"
1977-03-01,"432 SOUTH GEORGE NIGH EXWY","McAlester","OK",-95.75709,34.944399,"SuperCenter"
1977-03-01,"415 CONLEY ROAD","Columbia","MO",-92.29003,38.926838,"SuperCenter"
1977-03-01,"1433 SO. SAM HOUSTON BLVD","Houston","MO",-91.95471,37.316088,"SuperCenter"
1977-04-01,"910 UNITY ROAD","Crossett","AR",-91.97037,33.125032,"SuperCenter"
1977-05-01,"2021 NORTH HWY 121","Bonham","TX",-96.1818,33.583772,"SuperCenter"
1977-05-01,"180 VETERANS DRIVE N","Huntingdon","TN",-88.41385,35.995802,"SuperCenter"
1977-05-01,"2121 HWY 79 SOUTH","Henderson","TX",-94.85568,32.104159,"SuperCenter"
1977-06-01,"1201 WEST PETREE RD","Anadarko","OK",-98.23984,35.050671,"SuperCenter"
1977-07-01,"5886 HWY 100","Washington","MO",-91.02348,38.535499,"SuperCenter"
1977-07-01,"822 CITY AVENUE SOUTH","Ripley","MS",-88.92629,34.739023,"Wal-MartStore"
1977-07-01,"3439 WILLIAMS STREET","Cape Girardeau","MO",-89.5659,37.32564,"SuperCenter"
1977-07-01,"2206 NORTH BALTIMORE","Kirksville","MO",-92.58341,40.183335,"SuperCenter"
1977-07-01,"1500 EAST FIRST ST","Kennett","MO",-90.04866,36.237128,"SuperCenter"
1977-07-01,"2203 PATSY LANE","Excelsior Springs","MO",-94.22601,39.340332,"Wal-MartStore"
1977-07-01,"1450 EAST MAIN","Carbondale","IL",-89.19246,37.707763,"SuperCenter"
1977-07-01,"1730 E JACKSON ROAD","Macomb","IL",-90.6681,40.456986,"SuperCenter"
1977-07-01,"1870 WEST MAIN ST.","Salem","IL",-88.95361,38.623789,"SuperCenter"
1977-07-01,"1501 WOODLAWN ROAD","Lincoln","IL",-89.36746,40.149927,"Wal-MartStore"
1977-07-01,"1205 W MORTON ROAD","Jacksonville","IL",-90.22941,39.730234,"Wal-MartStore"
1977-07-01,"120 CARLYLE PLAZA DRIVE","Belleville","IL",-89.93996,38.532311,"Wal-MartStore"
1977-08-01,"5219 HWY 51 NORTH","Senatobia","MS",-89.94635,34.607602,"SuperCenter"
1977-09-01,"1400 NORTH CENTER","Lonoke","AR",-91.90949,34.7964,"Wal-MartStore"
1977-10-01,"925 KEYSER AVE","Natchitoches","LA",-93.09021,31.751287,"SuperCenter"
1977-10-01,"#1 MEMORIAL DRIVE","Potosi","MO",-90.86797,37.91496,"SuperCenter"
1977-10-01,"159 HIGHWAY 15 SOUTH","Louisville","MS",-89.02849,33.109635,"SuperCenter"
1977-11-01,"1923 EAST KEARNEY","Springfield","MO",-93.29015,37.257053,"Wal-MartStore"
1977-11-01,"1270 STATE HWY 4 BYPASS SW","Camden","AR",-92.81368,33.578096,"Wal-MartStore"
1977-11-01,"560 WEST POPLAR AVE","Collierville","TN",-89.67417,35.057224,"SuperCenter"
1977-11-01,"1210 MINERAL WELL AV","Paris","TN",-88.32891,36.300311,"SuperCenter"
1977-11-01,"914 E OKLAHOMA BLVD","Alva","OK",-98.69707,36.804875,"SuperCenter"
1977-11-01,"301 SO. VILLAGE ROAD","El Dorado","KS",-96.84294,37.830417,"SuperCenter"
1977-11-01,"333 INTERSTATE DRIVE","Norman","OK",-97.45629,35.228649,"SuperCenter"
1978-02-01,"600 N.E. CORONADO DRIVE","Blue Springs","MO",-94.25767,39.017559,"SuperCenter"
1978-02-07,"12101 E 96TH ST. N","Owasso","OK",-95.8305,36.278298,"SuperCenter"
1978-02-14,"500 US HWY 62 WEST","Princeton","KY",-87.87429,37.12596,"Wal-MartStore"
1978-03-01,"405 Booth Rd/2103 S Main St","Searcy","AR",-91.732235,35.222133,"DistributionCenter"
1978-03-14,"1311 SOUTH JACKSON","Jacksonville","TX",-95.25281,31.953855,"SuperCenter"
1978-03-21,"1004 NORTH BROADWAY","Cleveland","OK",-96.39586,36.260645,"Wal-MartStore"
1978-03-28,"1002 BEACON STREET","Philadelphia","MS",-89.12788,32.776368,"SuperCenter"
1978-03-28,"2041 REDBUD BLVD","McKinney","TX",-96.60363,33.195073,"SuperCenter"
1978-04-04,"2970 MILITARY AVENUE","Baxter Springs","KS",-94.74929,37.026091,"Wal-MartStore"
1978-05-16,"1205 WEST FERDON ST","Litchfield","IL",-89.65721,39.179875,"SuperCenter"
1978-06-01,"1516 NORTH 18TH STREET","Ozark","AR",-93.81819,35.549469,"Wal-MartStore"
1978-06-13,"110 DAVIDSON AVENUE","Mount Vernon","IL",-88.90842,38.322558,"SuperCenter"
1978-07-18,"500 EAST HIGHWAY 270","Holdenville","OK",-96.38778,35.088636,"Wal-MartStore"
1978-08-01,"1911 WEST PARKER RD","Jonesboro","AR",-90.74506,35.781707,"SuperCenter"
1978-08-08,"800 JAMES BOWIE DRIVE","New Boston","TX",-94.41954,33.465282,"SuperCenter"
1978-08-29,"937 PARK CIRCLE DR","Brookfield","MO",-93.04973,39.792042,"SuperCenter"
1978-09-05,"801 WEST MAIN","Lewisville","TX",-97.00771,33.020118,"SuperCenter"
1978-09-12,"401 COKE STREET","Hillsboro","TX",-97.12263,32.015496,"SuperCenter"
1978-09-19,"1616 WEST HENDERSON","Cleburne","TX",-97.40081,32.343115,"SuperCenter"
1978-09-19,"1419 N. COUNTRY CLUB RD.","Ada","OK",-96.68761,34.780243,"SuperCenter"
1978-09-19,"1901 SOUTH MISSISSIPPI","Atoka","OK",-96.11276,34.347553,"Wal-MartStore"
1978-10-03,"3201 WEST BROADWAY","Sedalia","MO",-93.23231,38.702964,"SuperCenter"
1978-10-10,"800 WEST GIBSON","Jasper","TX",-94.03455,30.941282,"SuperCenter"
1978-10-10,"2400 SOUTH COUNTRY CLUB ROAD","El Reno","OK",-97.95534,35.519046,"SuperCenter"
1978-10-17,"951 SW WILSHIRE BLVD","Burleson","TX",-97.30681,32.535841,"SuperCenter"
1978-10-17,"201 US HWY 59 LOOP","Atlanta","TX",-94.1773,33.118611,"SuperCenter"
1978-10-24,"2108 WEST BROADWAY","Sulphur","OK",-96.98606,34.49284,"Wal-MartStore"
1978-10-31,"1200 GARTH BROOKS BLVD","Yukon","OK",-97.74814,35.506204,"SuperCenter"
1978-10-31,"512 INDUSTRIAL DRIVE","Trumann","AR",-90.52742,35.623029,"SuperCenter"
1978-11-14,"16 ARROWHEAD POINT SHPCNTR","Harrisburg","IL",-88.54208,37.725834,"Wal-MartStore"
1978-11-21,"300 LEIGH AVE","Anna","IL",-89.21408,37.457806,"SuperCenter"
1978-11-28,"1900 WEST MAIN","Corning","AR",-90.56479,36.410344,"Wal-MartStore"
1978-12-05,"1410 N MARKET ST","Sparta","IL",-89.71168,38.122112,"SuperCenter"
1978-12-05,"1501 EAST WALNUT STREET","Paris","AR",-93.72139,35.293281,"Wal-MartStore"
1978-12-05,"8301 NO. CHURCH ROAD","Liberty","MO",-94.47794,39.230259,"SuperCenter"
1979-02-01,"1225 E LOOP 304","Crockett","TX",-95.47393,31.315837,"SuperCenter"
1979-02-13,"1655 WEST COLLEGE STREET","Pulaski","TN",-87.01246,35.204983,"SuperCenter"
1979-03-06,"831 HWY 59 SOUTH","Cleveland","TX",-95.04514,30.35469,"SuperCenter"
1979-03-13,"605 EAST MAIN","Henryetta","OK",-95.95038,35.447961,"Wal-MartStore"
1979-03-27,"2705 WALTON WAY","Marion","IL",-88.92968,37.724504,"Wal-MartStore"
1979-03-27,"103 WEST POLK ST","Warsaw","MO",-93.36354,38.242861,"SuperCenter"
1979-04-10,"1017 MULBERRY AVENUE","Selmer","TN",-88.59327,35.165045,"SuperCenter"
1979-05-15,"620 SOUTH APPLEGATE ST","Winona","MS",-89.73155,33.481491,"Wal-MartStore"
1979-06-01,"1831 S DR MARTIN L. KING BLVD","Greenville","MS",-91.05187,33.380388,"SuperCenter"
1979-06-19,"2701 HWY 50","Commerce","TX",-95.91061,33.25868,"SuperCenter"
1979-06-26,"175 BEASLEY DRIVE","Dickson","TN",-87.40831,36.065779,"SuperCenter"
1979-07-03,"100 INTERCHANGE DRIVE","Fulton","MS",-88.38409,34.265985,"SuperCenter"
1979-07-10,"135 NE LOOP 564","Mineola","TX",-95.46982,32.674657,"SuperCenter"
1979-07-17,"1200 NO. HWY 77","Waxahachie","TX",-96.83283,32.397024,"SuperCenter"
1979-07-31,"220 VETERAN MEM DR","Kosciusko","MS",-89.56318,33.038079,"SuperCenter"
1979-07-31,"5940 HWY 167 NORTH","Winnfield","LA",-92.6445,31.915828,"SuperCenter"
1979-07-31,"919 GIACONE DRIVE","Benton","IL",-88.92407,38.000245,"SuperCenter"
1979-08-07,"8420 US HWY 287 NO.","Bowie","TX",-97.88575,33.54007,"SuperCenter"
1979-08-21,"400 JUNCTION DRIVE","Glen Carbon","IL",-89.97442,38.75592,"Wal-MartStore"
1979-08-21,"3600 MALLORY LANE","Franklin","TN",-86.7952,35.921811,"SuperCenter"
1979-08-21,"1110 BATTLEGROUND DRIVE","Iuka","MS",-88.10205,34.803864,"Wal-MartStore"
1979-08-28,"1406 EAST MILAM","Mexia","TX",-96.48721,31.669823,"SuperCenter"
1979-08-28,"782 INTERSTATE 30","Rockwall","TX",-96.45446,32.93382,"SuperCenter"
1979-09-18,"310 HEDGE LANE","Paola","KS",-94.86706,38.574804,"SuperCenter"
1979-09-18,"823 WEST ROGERS BLVD","Skiatook","OK",-96.03998,36.381305,"SuperCenter"
1979-09-25,"1900 WEST MOORE AVE","Terrell","TX",-96.28923,32.747747,"SuperCenter"
1979-09-25,"930 N WALNUT CREEK DRIVE","Mansfield","TX",-97.13485,32.57701,"SuperCenter"
1979-09-25,"141 INTER STATE 45 SOUTH","Huntsville","TX",-95.50719,30.805099,"SuperCenter"
1979-10-23,"175 J.I. BELL LANE","Savannah","TN",-88.18946,35.180947,"SuperCenter"
1979-10-23,"1620 WEST CHURCH","Livingston","TX",-94.89915,30.712538,"SuperCenter"
1979-10-23,"3360 TOM AUSTIN HWY","Springfield","TN",-86.86892,36.513979,"SuperCenter"
1979-10-29,"1002 NW SHERIDAN RD","Lawton","OK",-98.46255,34.613973,"SuperCenter"
1979-10-30,"3701 NORTH MAIN ST.","Taylor","TX",-97.40948,30.574821,"SuperCenter"
1979-10-30,"901 U.S. HWY 60 EAST","Morganfield","KY",-87.90199,37.67416,"SuperCenter"
1979-10-30,"709 WEST HWY 79","Rockdale","TX",-97.01149,30.646291,"SuperCenter"
1979-10-30,"1500 HWY 25B NORTH","Heber Springs","AR",-92.02327,35.489516,"SuperCenter"
1979-10-30,"115 COBB MILL ROAD","Woodville","TX",-94.40671,30.768601,"SuperCenter"
1979-10-30,"US 65 SOUTH","McGehee","AR",-91.38236,33.628723,"Wal-MartStore"
1979-11-13,"1001 NORTH WEST","Olney","IL",-88.08658,38.72456,"SuperCenter"
1979-11-20,"905 HWY 16 WEST","Carthage","MS",-89.50644,32.785139,"SuperCenter"
1979-11-20,"1224 HUNTSVILLE WAY","Fayetteville","TN",-86.57433,35.136177,"SuperCenter"
1979-11-27,"1801 HWY 78 EAST","Jasper","AL",-87.27632,33.828412,"SuperCenter"
1979-12-04,"700 EAST ENNIS AVE.","Ennis","TX",-96.61962,32.331239,"SuperCenter"
1980-02-12,"3929 N GLOSTER STREET","Tupelo","MS",-88.6822,34.272374,"SuperCenter"
1980-02-12,"926 E. COLLIN RAYE DR.","De Queen","AR",-94.33597,34.038226,"SuperCenter"
1980-02-26,"795 TX AVE","Bridge City","TX",-93.84071,30.026093,"Wal-MartStore"
1980-02-26,"1450 NO. BRINDLEE MTN. PKWY","Arab","AL",-86.49278,34.323715,"SuperCenter"
1980-03-04,"501 SW 19TH STREET","Moore","OK",-97.48596,35.34377,"SuperCenter"
1980-03-18,"215 GRANT WAY","Du Quoin","IL",-89.24688,38.011729,"SuperCenter"
1980-04-01,"131 ERKA TWN CNTR DR","Eureka","MO",-90.61304,38.494203,"SuperCenter"
1980-04-15,"109 W.P. MALONE DR","Arkadelphia","AR",-93.05585,34.111837,"SuperCenter"
1980-04-15,"5560 MCCLELLAN BLVD","Anniston","AL",-85.83166,33.719701,"SuperCenter"
1980-05-01,"1212 SOUTH MADISON","Webb City","MO",-94.47465,37.155108,"SuperCenter"
1980-05-28,"1712 EAST WASHINGTON","Navasota","TX",-96.07999,30.374501,"Wal-MartStore"
1980-06-24,"1601 WEST STATE HIGHWAY 114","Grapevine","TX",-97.08498,32.93195,"SuperCenter"
